nohup: ignoring input
=== Titanium Ultra Enterprise System ===
[SocialMedia] Nincs token, layer passzív.
[Subscription_1] Feature_1 -> Value: 48.68
[Subscription_2] Feature_1 -> Value: 61.74
[Subscription_3] Feature_1 -> Value: 68.14
[Subscription_4] Feature_1 -> Value: 13.7
[Subscription_5] Feature_1 -> Value: 29.61
[Subscription_6] Feature_1 -> Value: 52.99
[Subscription_7] Feature_1 -> Value: 88.68
[Subscription_8] Feature_1 -> Value: 32.05
[Subscription_9] Feature_1 -> Value: 94.08
[Subscription_10] Feature_1 -> Value: 73.52
[Subscription_11] Feature_1 -> Value: 74.25
[Subscription_12] Feature_1 -> Value: 74.79
[Subscription_13] Feature_1 -> Value: 58.48
[Subscription_14] Feature_1 -> Value: 24.49
[Subscription_15] Feature_1 -> Value: 53.54
[Subscription_16] Feature_1 -> Value: 84.81
[Subscription_17] Feature_1 -> Value: 51.6
[Subscription_18] Feature_1 -> Value: 64.86
[Subscription_19] Feature_1 -> Value: 59.85
[Subscription_20] Feature_1 -> Value: 75.53
[Subscription_2] Feature_2 -> Value: 26.4
[Subscription_7] Feature_2 -> Value: 96.53
[Subscription_11] Feature_2 -> Value: 93.46
[Subscription_12] Feature_2 -> Value: 82.78
[Subscription_1] Feature_2 -> Value: 7.31
[Subscription_3] Feature_2 -> Value: 44.27
[Subscription_4] Feature_2 -> Value: 54.55
[Subscription_5] Feature_2 -> Value: 15.61
[Subscription_8] Feature_2 -> Value: 58.07
[Subscription_10] Feature_2 -> Value: 76.17
[Subscription_15] Feature_2 -> Value: 70.61
[Subscription_16] Feature_2 -> Value: 2.14
[Subscription_17] Feature_2 -> Value: 31.4
[Subscription_6] Feature_2 -> Value: 92.05
[Subscription_9] Feature_2 -> Value: 2.67
[Subscription_13] Feature_2 -> Value: 23.82
[Subscription_14] Feature_2 -> Value: 77.65
[Subscription_18] Feature_2 -> Value: 30.5
[Subscription_19] Feature_2 -> Value: 44.44
[Subscription_20] Feature_2 -> Value: 37.31
[Subscription_2] Feature_3 -> Value: 70.48
[Subscription_5] Feature_3 -> Value: 78.42
[Subscription_7] Feature_3 -> Value: 93.97
[Subscription_11] Feature_3 -> Value: 38.8
[Subscription_12] Feature_3 -> Value: 89.62
[Subscription_16] Feature_3 -> Value: 82.59
[Subscription_1] Feature_3 -> Value: 54.61
[Subscription_3] Feature_3 -> Value: 56.17
[Subscription_10] Feature_3 -> Value: 12.14
[Subscription_13] Feature_3 -> Value: 0.35
[Subscription_14] Feature_3 -> Value: 35.26
[Subscription_15] Feature_3 -> Value: 91.08
[Subscription_18] Feature_3 -> Value: 2.54
[Subscription_4] Feature_3 -> Value: 68.93
[Subscription_8] Feature_3 -> Value: 16.95
[Subscription_17] Feature_3 -> Value: 75.75
[Subscription_19] Feature_3 -> Value: 54.76
[Subscription_2] Feature_4 -> Value: 46.82
[Subscription_5] Feature_4 -> Value: 18.24
[Subscription_6] Feature_3 -> Value: 59.37
[Subscription_7] Feature_4 -> Value: 36.3
[Subscription_9] Feature_3 -> Value: 37.43
[Subscription_10] Feature_4 -> Value: 30.09
[Subscription_12] Feature_4 -> Value: 13.85
[Subscription_14] Feature_4 -> Value: 33.62
[Subscription_15] Feature_4 -> Value: 74.31
[Subscription_20] Feature_3 -> Value: 31.95
[Subscription_8] Feature_4 -> Value: 86.05
[Subscription_13] Feature_4 -> Value: 3.34
[Subscription_11] Feature_4 -> Value: 81.49
[Subscription_16] Feature_4 -> Value: 21.99
[Subscription_17] Feature_4 -> Value: 39.68
[Subscription_18] Feature_4 -> Value: 61.96
[Subscription_1] Feature_4 -> Value: 76.29
[Subscription_3] Feature_4 -> Value: 82.38
[Subscription_7] Feature_5 -> Value: 53.91
[Subscription_10] Feature_5 -> Value: 19.93
[Subscription_19] Feature_4 -> Value: 90.08
[Subscription_20] Feature_4 -> Value: 77.92
[Subscription_2] Feature_5 -> Value: 90.89
[Subscription_4] Feature_4 -> Value: 57.64
[Subscription_5] Feature_5 -> Value: 36.03
[Subscription_6] Feature_4 -> Value: 44.79
[Subscription_8] Feature_5 -> Value: 27.73
[Subscription_14] Feature_5 -> Value: 22.47
[Subscription_15] Feature_5 -> Value: 6.48
[Subscription_18] Feature_5 -> Value: 43.13
[Subscription_7] Feature_1 -> Value: 98.33
[Subscription_9] Feature_4 -> Value: 48.46
[Subscription_10] Feature_1 -> Value: 93.6
[Subscription_12] Feature_5 -> Value: 87.23
[Subscription_13] Feature_5 -> Value: 78.56
[Subscription_16] Feature_5 -> Value: 36.35
[Subscription_19] Feature_5 -> Value: 98.9
[Subscription_20] Feature_5 -> Value: 6.3
[Subscription_1] Feature_5 -> Value: 31.49
[Subscription_14] Feature_1 -> Value: 37.35
[Subscription_11] Feature_5 -> Value: 93.24
[Subscription_17] Feature_5 -> Value: 51.85
[Subscription_15] Feature_1 -> Value: 29.18
[Subscription_3] Feature_5 -> Value: 12.43
[Subscription_7] Feature_2 -> Value: 58.51
[Subscription_9] Feature_5 -> Value: 5.09
[Subscription_8] Feature_1 -> Value: 46.03
[Subscription_10] Feature_2 -> Value: 19.47
[Subscription_18] Feature_1 -> Value: 85.69
[Subscription_2] Feature_1 -> Value: 61.4
[Subscription_4] Feature_5 -> Value: 51.53
[Subscription_5] Feature_1 -> Value: 92.43
[Subscription_6] Feature_5 -> Value: 32.96
[Subscription_12] Feature_1 -> Value: 66.19
[Subscription_13] Feature_1 -> Value: 98.68
[Subscription_16] Feature_1 -> Value: 85.42
[Subscription_15] Feature_2 -> Value: 29.84
[Subscription_1] Feature_1 -> Value: 92.56
[Subscription_10] Feature_3 -> Value: 45.69
[Subscription_11] Feature_1 -> Value: 83.35
[Subscription_17] Feature_1 -> Value: 69.88
[Subscription_18] Feature_2 -> Value: 81.67
[Subscription_19] Feature_1 -> Value: 34.72
[Subscription_20] Feature_1 -> Value: 22.37
[Subscription_3] Feature_1 -> Value: 25.14
[Subscription_9] Feature_1 -> Value: 31.41
[Subscription_14] Feature_2 -> Value: 77.02
[Subscription_13] Feature_2 -> Value: 69.1
[Subscription_1] Feature_2 -> Value: 6.25
[Subscription_5] Feature_2 -> Value: 37.34
[Subscription_6] Feature_1 -> Value: 13.46
[Subscription_7] Feature_3 -> Value: 78.97
[Subscription_8] Feature_2 -> Value: 42.24
[Subscription_12] Feature_2 -> Value: 67.72
[Subscription_17] Feature_2 -> Value: 59.4
[Subscription_18] Feature_3 -> Value: 79.46
[Subscription_15] Feature_3 -> Value: 47.95
[Subscription_2] Feature_2 -> Value: 35.24
[Subscription_3] Feature_2 -> Value: 70.88
[Subscription_4] Feature_1 -> Value: 26.74
[Subscription_11] Feature_2 -> Value: 47.15
[Subscription_16] Feature_2 -> Value: 24.67
[Subscription_19] Feature_2 -> Value: 91.78
